"Term","Count","Box.Office","Critic.Score"
"relevant",1,57,0
"relied",1,49.1,48
"relief",1,0.3,80
"relies",1,58.4,85
"religion",3,17.73,74.67
"religious",8,36.62,33.63
"relive",2,24.5,59
"reliving",1,66.3,77
"rellis",1,55.8,70
"relocate",2,57.7,20
"relocated",3,44.03,20.67
"relocates",2,15.8,26.5
"relocation",1,0.07,75
"reluctant",3,105.17,68.67
"reluctantly",8,36.96,58.5
"rely",3,111.03,60.33
"remain",6,21.79,54.17
"remainder",1,1.6,48
"remaining",9,106.37,55.78
"remains",4,80.08,52.75
"remake",5,46.56,19.6
"remarkable",3,16.04,49.33
"remarried",1,112.7,57
"remedy",1,49,90
"remember",4,31.63,37
"remembered",1,0.06,45
"remembering",1,3.2,36
"remembers",1,12.4,27
"reminded",1,13,18
"reminds",1,6.4,89
"reminiscent",1,0.4,57
"remnant",1,0.3,71
"remote",14,33.75,40.93
"removal",1,12,72
"ren",1,51.8,70
"renaissance",1,0.03,71
"rendered",1,42.6,54
"rendering",1,0.3,52
"renders",2,5.85,78.5
"rene",1,0,48
"renegade",6,60.92,48.67
"renesmee",1,292.3,48
"renewable",1,1.3,88
"renewal",1,0,45
"renewing",1,0.3,71
"rennie",1,0.3,13
"reno",1,20.3,35
"renovate",3,34.77,34.33
"renown",1,0.07,63
"renowned",7,4.08,71.71
"rent",4,26.4,47.5
"rental",1,11,66
"rep",1,32.4,49
"repair",1,176.7,82
"repairman",1,15.7,5
"repay",3,57.6,39.67
"repeat",1,28.4,20
"repellent",1,0.1,67
"repercussions",2,43.65,47.5
"repertoire",1,61.1,81
"replaced",1,13.6,63
"replacement",2,23.05,36.5
"replica",2,11.25,58.5
"report",2,64.6,66.5
"reporter",18,17.98,54
"reporters",1,93,31
"repossessed",1,13.2,22
"represent",3,4.6,79.67
"representative",1,0.03,83
"represented",1,37.7,32
"representing",3,21.13,69
"represents",1,58,83
"repressed",2,29.95,27.5
"reprises",1,70.1,6
"reps",1,67.3,78
"reputation",4,43.78,35.5
"reputed",1,32.6,17
"require",2,74.85,51
"requires",2,13.3,40.5
"rescue",37,64.88,47.43
"rescued",4,101.53,52.5
"rescues",2,22.55,42
"research",6,45.72,47
"researcher",4,43.51,58
"researching",3,25.83,75
"resemble",1,3.3,65
"resentful",4,26.95,47.25
"resentment",1,0.05,77
"reservation",1,2.1,88
"reserve",1,20.5,22
"reservist",1,0.3,49
"reservists",1,8.1,5
"reset",1,100.1,90
"resettle",1,2.7,88
"residence",3,67.13,69
"resident",8,42.6,51.25
"residents",13,11.1,54.15
"resides",3,79.03,48.67
"resigns",1,18.2,41
"resiliently",1,0.1,75
"resist",2,13.1,86
"resistance",4,87.03,31.25
"resisting",1,0.1,50
"resists",1,0.01,58
"resolution",1,16,40
"resolve",1,21.2,62
"resort",10,83.1,39.4
"resorts",1,18.3,93
"resource",1,168.4,65
"resourceful",2,41.2,64
"resources",3,32.18,52.67
"respected",1,1.1,48
"respective",13,19.74,43.69
"respond",1,4.7,92
"responds",1,57,33
"response",1,13,18
"responsibilities",1,0.08,85
"responsibility",4,35.85,61.25
"responsible",8,12.86,39
"rest",10,63.63,47.2
"restaurant",9,44.24,66
"resting",1,16.3,80
"restore",8,110.89,52.38
"restored",2,23.22,39
"restores",1,1.7,39
"restoring",1,0.6,67
"result",4,60.83,52.5
"resulting",3,61.26,61.67
"results",8,52.16,33.63
"resume",1,176,81
"resurfaced",2,0.27,57.5
"resurfaces",1,36.9,20
"resurgence",1,0.2,70
"resurrect",3,1.18,63
"resurrected",1,17,32
"resurrection",1,59.7,21
"resurrects",1,0,10
"retain",1,21.7,23
"retaining",1,0.1,37
"retaliation",1,20.9,92
"retelling",7,27.24,68
"retire",3,35.8,76
"retired",12,36.62,37.25
"retirees",1,46.4,78
"retirement",6,28.29,57.5
"retiring",2,40.6,72
"retreat",3,20.4,33.67
"retreating",1,36.4,23
"retribution",2,209.95,58.5
"retrieve",9,29.13,47.11
"retro",1,1,0
"return",38,76.84,48.11
"returned",3,14.3,42.33
"returning",4,24.88,62.5
"returns",53,23.09,44.7
"reuben",1,117.1,70
"reunion",14,18.21,41.5
"reunions",1,0,40
"reunite",18,29.86,53.06
"reunited",2,135.05,75.5
"reunites",5,102,48.8
"rev",1,0.05,0
"reveal",6,64.2,46.83
"revealed",5,4.84,50.6
"revealing",3,13.1,54
"reveals",9,26.33,43.44
"revelation",2,47.57,36.5
"revelations",1,75.6,64
"revelatory",1,15.7,35
"revenge",35,46.33,41.17
"revered",3,5.5,37
"reverend",2,21.9,32
"reverse",3,73.13,67.67
"reversed",1,1,61
"reviews",1,13.1,48
"reviled",1,13.8,61
"reville",1,6,62
"revisionist",1,14.4,8
"revisit",2,0.15,84
"revisited",1,0.01,12
"revitalize",1,0.2,38
"revival",2,1.65,90.5
"revive",1,22.5,36
"revived",1,13.2,85
"reviving",1,31,56
"revolution",6,11.31,69.33
"revolutionary",3,4.4,48.67
"revolves",7,20.03,31.57
"revolving",1,4.3,76
"revues",1,11,67
"reward",2,117.15,49
"rewards",1,0.01,62
"rewind",1,137.3,32
"rewrite",1,64.1,55
"rexxx",1,13.9,38
"rhino",1,8.3,42
"rhymer",1,2.8,45
"rhythm",1,75.2,81
"ric",1,0.6,94
"rican",1,7.5,52
"rich",11,27.83,37.09
"richard",5,28.46,59.2
"richards",1,37,49
"richie",2,82.35,52.5
"rick",6,37.09,41.67
"ricky",2,148.2,72
"rico",3,34.1,44.67
"rid",3,28.7,55
"ridden",1,205.2,85
"riddick",3,46.93,49
"riddled",2,60.9,76
"riddles",1,1,5
"ride",8,26.95,26.13
"rider",3,66.33,68.67
"riders",1,0.1,0
"rides",2,67.4,35
"ridge",1,8.3,84
"ridicule",1,0.4,56
"ridiculous",1,3.4,6
"riding",2,5.08,31.5
"rife",1,19.7,28
"rifle",1,46.5,71
"rift",1,111.5,79
"rig",2,17.51,65
"rigged",1,7.7,30
"right",10,71.77,34.9
"rightful",2,80.2,35
"rightfully",1,33,53
"rights",5,64.74,69.2
"rigid",2,36.3,42
"riker",1,25.8,16
"ring",15,98.27,57.33
"rink",2,10.61,50
"rio",3,116.43,71
"rip",1,1.2,20
"ripper",1,30.7,57
"ripples",1,27.1,66
"rise",17,37.82,59.18
"rises",4,52.98,58.5
"rising",6,30.96,39.17
"risk",9,62.07,53.44
"risks",8,33.79,60.88
"risqu",1,1.4,56
"riss",1,0.2,78
"rite",1,0.5,29
"rites",1,30.6,28
"ritual",1,0.02,54
"ritualistic",1,37.5,45
"ritzy",1,94.5,41
"rival",14,46.32,33.36
"rivalries",1,70.5,68
"rivalry",8,7.5,37
"rivals",4,44.43,66.5
"river",1,0.04,8
"rivera",1,1.1,48
"rivers",1,2.9,91
"riveting",1,0.04,91
"rize",1,3.3,83
"rizzos",1,6.7,81
"rj",1,0.6,81
"road",38,35.04,47.71
"roadie",1,3.4,78
"roadside",1,31,6
"rob",8,43.63,53.5
"robbed",1,33,25
"robber",1,88.4,86
"robberies",1,36.5,10
"robbers",4,41.38,44
"robbery",5,18.2,59.8
"robbing",4,17.6,55.75
"robert",9,36.79,63.44
"roberts",1,0.7,20
"robin",2,52.85,40
"robinson",2,96.35,72.5
"robot",9,101.99,61.78
"robotic",3,81.67,52.33
"robots",2,38.05,55.5
"rock",24,21.67,63.54
"rocked",4,7.16,59.25
"rocker",2,3.15,20.5
"rockers",1,14,11
"rocket",1,11,57
"rockies",1,71.4,23
"rocky",4,65.51,58.25
"rod",1,13.9,40
"rodeo",1,0.1,0
"rodney",1,11.3,53
"rodrick",1,52.7,48
"rodriguez",2,28.85,53
"rogen",1,101.5,83
"roger",2,0.4,94.5
"rogers",2,218.15,84
"rogue",8,73.98,43.75
"roland",1,1.5,74
"role",16,28.37,67.94
"roles",2,49.1,32.5
"roll",6,25.14,45
"roller",2,9.35,71.5
"rollercoaster",1,54.1,43
"rollerskating",1,21.2,62
"rollicking",1,9.2,84
"rolling",4,9.34,53
"roma",1,0,0
"roman",5,75.32,43.6
"romance",20,36.83,49.85
"romances",2,43.6,56
"romancing",1,55.6,30
"romanian",1,0.01,29
"romantic",41,26.03,44
"romantically",2,58.35,42
"rome",6,47.97,34.67
"romeo",2,0.06,10
"romp",1,0,0
"romulan",2,150.4,66
"romulus",1,43.1,37
"ron",6,117.3,79.33
"ronald",1,0.4,0
"ronnie",1,24,51
"roo",1,18,79
"roof",2,17.25,60
"rooftop",1,18.6,31
"rookie",5,59.62,64.4
"room",8,50.16,61.13
"roomful",1,30,79
"rooming",1,33.1,62
"roommate",7,21.19,42
"roommates",3,2,40
"roosevelt",1,0.4,86
"rooster",1,12.5,48
"root",1,0.3,20
"roots",6,17,54.67
"rorschach",1,107.5,65
"rose",5,20.88,55.4
"rosenfeld",1,150.1,93
"rosenthal",1,0.08,71
"roth",2,60.41,47
"rotting",1,15,8
"rough",3,12.8,49
"roughriders",1,0.4,86
"round",4,98.05,50
"rounds",3,72.38,52
"route",2,16,61
"routine",6,24.73,46.83
"routinely",1,51.4,11
"routines",3,34.27,28.67
"row",7,36.47,51.43
"rowdy",1,10.2,13
"rower",1,0.06,28
"roxie",1,170.6,86
"roxy",2,7.05,39
"roy",2,41.95,65
"royal",6,78.8,40.17
"royale",1,167,95
"rubble",1,70.2,68
"ruby",1,2.8,16
"rugby",5,15.42,61.6
"rugrats",1,39.4,41
"ruin",2,76.15,45
"ruined",1,93.1,68
"ruining",1,135.3,36
"ruins",2,22.75,55.5
"rule",5,45.3,62
"ruled",4,14.8,38.25
"rulers",1,50.8,65
"rules",3,85.23,39
"ruling",2,15.8,21
"ruminations",1,3.7,76
"rumor",1,58.4,85
"rumors",2,25.65,28
"rumpel",1,238.3,58
"rumpelstiltskin",1,238.3,58
"rumpled",1,14.8,70
"rumsfeld",1,0.1,83
"run",46,37.47,40.78
"runaway",3,90.9,63.67
"runaways",1,2,68
"rundown",2,30.85,50.5
"runners",1,102.4,63
"running",6,19.54,38.83
"runs",9,36.29,46.56
"runway",1,0.2,74
"ruptures",1,1.7,39
"rural",7,11.45,36
"rusesabagina",1,23.5,90
"rush",3,7.27,57
"rushes",1,4.1,4
"rushing",1,18.9,17
"russell",2,37.8,66.5
"russia",4,55.23,41.5
"russian",16,42.84,62.5
"rut",1,0.3,25
"ruthless",17,67.16,49.12
"ruthlessly",1,58.8,37
"rv",1,71.4,23
"rwanda",1,23.5,90
"ryan",7,38.19,48.86
"rydell",1,28.6,32
"ryden",1,6.3,8
"rye",1,0.6,35
"sabertooth",1,176.2,77
"sabotage",2,31.8,55
"sacred",3,32.63,43
"sacrifice",5,27.67,52.8
"sacrifices",3,18.07,30.67
"sadaam",1,0.06,85
"sade",1,4.3,75
"sadelstein",1,74.2,3
"sadistic",5,45.9,50.8
"sadomasochistic",1,3.8,75
"safe",15,46.03,42.07
"safeguards",1,0.3,81
"safety",2,34.25,48.5
"saginowski",1,10.7,89
"saharan",1,0.1,91
"sahebjam",1,0.5,57
"said",1,13.2,22
"sail",1,309.4,45
"sailboat",1,0.03,42
"sailing",1,3.7,5
"sailor",1,26.3,46
"sailors",1,0.1,33
"sails",2,38.65,43
"saint",1,1.1,11
"saints",2,0.4,70
"sake",1,9,0
"sal",1,0.7,43
"salander",1,102.5,86
"salas",1,37.6,36
"sale",4,18.68,57.25
"salem",2,0.6,62
"salesgirl",1,10.1,61
"salesman",10,27.21,55
"salesmen",1,44.7,34
"saleswoman",1,0.8,46
"salinger",1,0.6,35
"sally",4,27.05,30
"salon",1,0.2,17
"salsa",1,7.5,25
"salt",1,5,82
"salton",1,0.02,53
"salvador",1,0.2,71
"salvage",1,30.1,14
"salvation",2,15.95,55.5
"sam",12,97.98,42
"samantha",2,95.3,15
"samarra",1,0.03,45
"samir",2,11.9,72.5
"samsara",1,2.6,77
"samuels",1,86,83
"samurai",2,74.7,40
"san",13,32.02,52.54
"sanctuary",1,35.3,92
"sancturary",1,135.6,65
"sand",1,90.8,36
"sander",1,16.9,35
"sanders",1,0.4,40
"sandra",1,6.1,42
"sands",1,19.7,5
"sandy",3,90.67,32.67
"sanford",1,59.8,22
"sanity",2,1.45,86.5
"santa",8,44.26,41.75
"santiago",2,4.3,63
"santos",1,1,92
"sara",3,45.83,11
"sarah",6,28.09,46
"sarcastic",1,68,43
"sarchie",1,30.6,28
"sariah",1,1.1,17
"saruman",1,340.5,96
"sasha",1,0.01,62
"sassoon",1,0.09,59
"sat",1,10.3,17
"satan",1,16.4,7
"satanic",1,84.3,29
"satellite",1,89.4,78
"satire",5,18.9,25
"satirical",1,24.6,86
"satisfy",1,18.2,74
"satisfying",1,13.2,1
"satish",1,0.05,69
"saturday",1,13.4,11
"saudi",1,62.6,61
"saunders",1,15.2,66
"sauron",3,343.77,94
"savannah",1,0.04,8
"save",81,52.23,43.21
"saved",5,34.12,52.6
"saves",9,96.98,47.78
"saving",5,35.36,44.4
"savings",1,18.2,82
"savior",2,41.65,31
"savvy",1,44.7,34
"saw",4,2.58,59.25
"say",2,82.8,44.5
"says",3,3.07,62.67
"sayuri",1,57,35
"scam",7,47.5,50
"scamming",1,4.8,10
"scams",1,9.5,22
"scandal",8,22.72,51.5
"scandalized",1,0.2,91
"scare",1,0.1,0
"scarecrow",3,71.33,33.67
"scared",3,37.57,65
"scarer",1,34,96
"scarfe",1,0.2,36
"scaring",1,34,96
"scarred",1,10.5,12
"scars",1,0.01,34
"scary",2,91.75,55
"scavenger",1,8.1,15
"scenarios",1,3.5,66
"scene",6,11.44,52.33
"scenes",2,29.47,80.5
"schedule",1,58.6,10
"scheme",9,58.02,55.44
"schemes",4,43.23,22.5
"scheming",4,45.5,55.25
"schizo",1,133.7,7
"schluufy",1,1.1,27
"schmidt",1,191.7,85
"schneider",1,0.01,8
"scholarship",3,24.11,29.33
"school",165,34.06,46.62
"schoolboy",1,0.6,34
"schooled",1,30.6,28
"schooler",2,21.45,64
"schools",4,85.65,82.25
"schreiber",1,0.01,33
"schumacher",1,0.2,20
"sci",4,48.45,61
"science",9,30.4,64.44
"scientific",6,53.93,39.17
"scientist",18,71.12,42.94
"scientists",5,47.54,47.4
"scissors",1,0.09,59
"scoffed",1,292,79
"scoops",1,10.5,39
"scope",1,39.7,2
"scorch",1,57,33
"scorched",1,42,59
"scorching",1,0.1,63
"score",7,18.19,40.14
"scores",3,12.53,56
"scorpion",2,3.44,22.5
"scotland",2,4.25,46
"scott",4,63.78,50.75
"scoundrelly",1,0.1,37
"scout",4,16.68,35.5
"scouting",1,136,96
"scramble",1,67.9,63
"scrapbook",1,69.5,44
"scrappiest",1,5.7,59
"screaming",1,8,44
"screen",9,34.38,49.22
"screening",1,0.5,32
"screenwriter",5,18,67
"screwed",1,0,14
"screwing",1,18.4,35
"screwy",1,0.4,42
"scripted",1,35,31
"scroll",1,23,23
"scrumptious",1,0.07,25
"scuba",1,30.5,72
"scully",1,20.8,31
"sea",17,39.8,57.47
"seafood",1,25.4,65
"seal",3,154.39,53.33
"sealed",2,12.04,39
"seals",2,35.04,22.5
"seams",1,32.4,14
"sean",4,39.63,25
"search",36,30.97,53.17
"searches",5,61.29,43.8
"searching",10,41,52.1
"season",10,44.5,50.5
"seasoned",5,28.92,47.2
"seasons",1,47,52
"seat",1,0.01,52
"seattle",5,63.18,51.2
"secluded",2,20.9,41.5
"second",15,36.52,40.2
"secondhand",1,43.5,77
"secrecy",1,12.1,88
"secret",65,47.7,42.29
"secretaries",1,53,40
"secretary",6,1.8,83.17
"secretive",3,50.63,58.67
"secretly",3,89.43,52.67
"secrets",19,62.1,49.47
"sect",1,0.06,33
"secure",9,23.47,38
"security",15,70.63,40.87
"sedgewick",1,12.7,39
"sedgwick",1,1.6,19
"seduce",2,20.85,52
"seduced",1,10.9,38
"seduces",2,2.05,61.5
"seduction",1,2.6,80
"seductive",3,52.13,51.33
"see",22,22.97,39.91
"seedy",1,0.05,10
"seeing",2,34,23.5
"seek",11,89.99,50.73
"seekers",2,23.82,18
"seeking",13,20.53,40.38
"seeks",14,26,48.57
"seeley",1,0,0
"seem",10,39.64,47.3
"seemed",3,23.7,16
"seemingly",12,41.18,32.58
"seems",11,38.23,50.27
"seen",8,11.09,41.38
"seer",1,42.1,92
"sees",9,33.85,29.44
"segregation",1,49.5,40
"seinfeld",1,2.7,76
"seize",1,119.2,79
"seizes",3,103.48,61.67
"seizing",1,20.4,24
"selected",2,145.15,80.5
"selene",3,58.7,24.33
"self",24,27.23,43.71
"selfish",1,0.3,42
"selkie",1,0.5,70
"sell",4,25.38,80
"seller",1,1.4,20
"selling",10,14.02,54.4
"selves",2,13.65,40
"semi",3,2.49,67
"seminal",1,0.6,98
"seminar",1,22.9,16
"seminary",1,33,21
"semitic",1,0.2,82
"senate",2,0.71,30
"senator",10,46.91,48
"senatorial",1,93.8,39
"send",4,74.63,59.5
"sending",1,66.3,93
"sends",12,25.7,60.75
"sendup",1,37.9,28
"senegal",1,0,73
"senegalese",2,0.82,85
"senior",12,26.99,42.75
"seniors",9,34.87,51.11
"senna",1,1.6,92
"sensation",5,18.25,66.6
"sensations",2,53.4,37.5
"sense",6,20.15,43.83
"senses",3,47.6,30
"sensibility",1,3,21
"sensible",1,124.7,75
"sensing",1,0.5,51
"sensitive",1,0.8,73
"sent",36,46.59,46.53
"sentence",3,40.43,21
"sentenced",3,61.73,39.33
"sentiment",1,0.03,68
"separate",3,23.3,81.67
"separated",10,17.32,50.6
"separately",1,2.3,94
"separation",2,60.79,78.5
"separations",1,1.5,27
"september",6,52.29,60.67
"sequel",5,63.24,37.4
"sequence",2,35.6,62
"serbian",1,0,20
"serbs",1,0.3,55
"serena",2,0.13,47.5
"serendipity",1,245.4,18
"serene",1,35.4,12
"serenity",1,25.3,82
"sergeant",5,31.58,68.2
"serial",29,29.83,29.48
"series",56,32.39,47.36
"serious",8,7.68,35.75
"seriously",3,114.87,68
"serum",1,176.6,79
"servant",1,50.8,56
"servants",1,41.3,85
"serve",7,28.19,39.29
"served",1,1.1,74
"server",1,16.9,4
"serves",2,58.4,76
"service",17,45.18,45.06
"services",2,0.2,29.5
"serving",4,50.36,34.75
"session",2,32.15,83
"sessions",3,43.24,25.67
"set",105,28.55,48.93
"seth",1,101.5,83
"sets",48,43.02,51.23
"setting",6,42.5,38.83
"settle",8,35.96,46.13
"settled",2,68.85,39.5
"settlers",3,0.77,37
"settles",1,27.7,42
"settling",2,42.15,67
"seven",18,23.33,50.17
"seventeen",1,64.1,55
"seventy",2,147.8,87.5
"several",16,25.99,41.44
"severe",5,27.62,53.2
"severely",2,13.3,27
"severing",1,0.3,80
"seville",1,217.2,27
"sewers",1,64.5,72
"sex",27,17.94,48.81
"sexist",1,26.7,43
"sexual",16,5.94,66
"sexuality",3,3.61,49.67
"sexually",3,5.83,34.67
"sexy",5,17.36,35.4
"seymour",1,0.6,100
"sf",1,66.3,17
"shabby",1,13.9,38
"shackleton",1,2.1,95
"shadow",2,1.5,71.5
"shadows",3,258.87,62
"shadowy",2,51.1,48
"shady",2,6.2,68.5
"shae",1,0.01,19
"shaft",1,70.3,68
"shah",1,125.1,75
"shake",4,63.78,51.5
"shaken",3,9.97,21.67
"shakes",4,39.23,55.5
"shakespeare",5,5.88,57.2
"shakur",1,7.6,78
"shallow",1,70.7,51
"shaming",1,14.4,8
"shan",1,13.8,38
"shane",1,113,20
"shanghai",1,1.6,50
"shanksville",1,31.5,91
"shape",4,31.55,58
"shaped",2,13.75,46
"shapiro",1,2,69
"share",7,30.12,53.14
"shared",5,28.66,49
"shares",3,148.4,79.67
"sharing",3,116.13,57.67
"shark",5,50.83,40.8
"sharks",1,14.1,11
"sharp",3,11.7,68.33
"shattered",2,1.85,67
"shattering",1,7,88
"shatters",1,337.1,65
"shaw",1,29.5,16
"shawn",1,0.1,10
"shed",2,0.25,80.5
"sheds",1,0.8,85
"sheeni",1,15.2,66
"sheep",2,4.96,49.5
"sheepdog",1,61,26
"sheer",1,1.2,54
"sheldon",3,6.73,39
"shell",1,59.8,22
"shelley",1,48.2,42
"shelter",4,0.62,71
"sheltered",3,18.95,55
"shenaniganz",1,16.1,31
"shengh",1,0.9,44
"shep",1,0.2,77
"shepard",2,23.4,56.5
"sheriff",12,25.31,29.75
"sherlock",2,197.75,64.5
"sherman",2,104.1,51.5
"shifting",2,56.1,23
"shifty",1,340.5,96
"shining",1,2,19
"shinohara",1,0.2,96
"ship",15,76.22,53.2
"shipment",1,150.4,47
"shipped",3,138.37,37
"shipping",1,29.5,16
"ships",2,53.6,46.5
"shire",1,313.8,91
"shirley",1,53.3,38
"shirt",1,1.2,8
"shlain",1,0.01,36
"shoals",1,0.7,96
"shock",1,34.3,31
"shocked",1,0.06,63
"shocking",7,1.18,66.57
"shockingly",1,0.07,49
"shoe",2,2.7,69
"shogun",1,38.3,15
"shoot",3,37.08,53
"shooting",4,28.83,69.75
"shootout",1,12.7,67
"shop",5,37.84,67.2
"shopper",1,24,51
"shopping",5,49.94,45.6
"shops",2,37.4,54.5
"shore",3,30.58,60
"shores",1,31.1,86
"short",7,25.11,47.14
"shortcomings",1,0,46
"shortcut",1,2.6,30
"shortly",3,100.13,33.33
"shortz",1,2.9,95
"shot",20,43.84,57.65
"show",42,27.71,57.24
"showbiz",1,5.8,86
"showdown",4,57.9,41.25
"showed",1,16.7,84
"shower",1,135.6,65
"showgirl",1,14.6,83
"showing",1,3.5,66
"shown",2,77.5,64
"shows",10,29.7,60.7
"showtunes",1,7.2,41
"shrek",5,293.08,62
"shrewd",1,1.9,78
"shrink",1,0.09,29
"shrunken",1,28.1,63
"shuffles",1,2.1,80
"shut",2,104.8,75
"shuttle",2,145.95,75
"shy",11,27.88,56.82
"siberian",1,2.7,74
"sibling",1,76.8,41
"siblings",11,38.19,52
"sickly",1,0.4,41
"sickness",1,4.5,34
"sid",3,184.4,46.33
"siddalee",1,69.5,44
"side",24,48.19,45.5
"sidekick",3,112.73,50
"sidelined",1,61.4,26
"sides",3,66.13,55.33
"sidious",1,380.2,80
"sidney",2,19.65,29.5
"siege",1,202.9,53
"sigel",1,2.1,0
"sight",2,151.6,32
"sights",2,112.5,72
"signal",2,40.35,10.5
"signature",2,0.95,52
"significant",4,44.48,57.25
"signing",1,95,79
"signs",4,19.15,28
"sikh",1,32.4,85
"silas",1,31.2,27
"silence",1,80.4,14
"silent",4,30.43,60
"silicon",1,0.2,70
"silver",3,43.94,48.67
"silverberg",1,31.5,74
"silverton",1,47.6,22
"similar",1,156.2,82
"similarities",1,35.1,8
"similarity",1,0.4,40
"simmering",1,1.5,74
"simmoms",1,53.3,38
"simmons",1,51.8,68
"simon",4,88.13,37.25
"simple",4,1.45,56.75
"simplicity",1,0.6,11
"simply",1,0.07,75
"simpson",1,183,90
"simultaneously",1,183.3,82
"sin",1,0.2,19
"sinatra",1,0.8,92
"since",21,35.88,48.33
"sing",2,135.25,48.5
"singer",23,7.77,49.65
"singers",3,37.7,92
"singing",8,70.88,46.38
"single",38,32.83,45.66
"singles",2,82.25,12.5
"sinister",11,48.22,62.09
"sinking",2,34.95,61
"sir",2,8.35,89
"siren",1,20.2,81
"sirius",2,143.5,68
"sister",48,40.4,46.19
"sisterhood",2,8,47.5
"sisters",14,29.33,44.64
"sit",1,0.01,15
"site",7,109.53,40.86
"sith",1,380.2,80
"sits",1,2.3,75
"sitter",1,0.3,68
"situation",9,27.36,61
"situations",3,55.45,44.67
"siula",1,4.5,93
"six",23,28.1,43.3
"sixteen",3,31.87,56.33
"sixth",2,150.98,52
"size",3,68.17,71.67
"sized",2,114.7,56
"skateboard",1,0.08,0
"skateboarder",2,0.11,59.5
"skateboarding",1,11,55
"skater",2,12.25,44
"skaters",3,41.13,25.67
"skating",2,0.61,65
"sketch",1,11.7,92
"ski",1,48.9,63
"skid",1,32.2,14
"skids",1,4.4,81
"skiers",1,0.1,62
"skill",1,19.7,5
"skilled",5,45.8,44.4
"skills",6,66.73,66.17
"skin",1,0.3,39
"skip",1,73.7,5
"skipped",1,25.5,30
"skipper",1,83.3,72
"skis",1,133.7,7
"skull",1,218.1,84
"skulls",1,317,78
"sky",1,124.9,87
"skydiving",1,0.06,89
"skynet",1,125.3,33
"skywalker",2,155.4,49.5
"slacker",10,27.73,35
"slain",2,37.1,14.5
"slave",5,41.56,43.4
"slavery",3,6.55,30.67
"slaves",3,97.67,48.67
"slayers",1,1.6,4
"sled",2,81.35,48
"sleep",2,32.6,13
"sleeping",1,45.5,83
"sleepover",1,0,5
"sleepwalking",1,2.3,83
"sleeve",1,22,43
"slept",1,0.9,77
"sleuth",1,13.6,88
"sleuths",1,10.1,65
"slew",1,33.7,29
"slide",1,0.01,4
"slides",1,0.04,15
"slim",1,0.01,0
"slinger",1,42.6,33
"slinging",1,0.08,0
"slitting",1,0.07,86
"slo",1,13.4,78
"sloth",1,176.2,77
"slovak",1,47.3,61
"slovakian",1,17.5,44
"slovenly",1,15.7,5
"slowly",10,51.9,48.9
"slum",2,57.81,58.5
"slums",1,141.2,92
"sly",1,19.3,8
"small",68,33.57,49.99
"smallest",1,28.6,10
"smart",3,44.63,30.67
"smaug",2,280.7,69
"smear",1,2.4,77
"smith",6,46.97,53.17
"smithsonian",1,177.1,44
"smitten",4,105.25,67
"smog",1,25.3,11
"smoke",2,32,25
"smoking",2,22.75,67
"smoochy",1,8.3,42
"smooth",1,1.2,88
"smuggler",3,41.53,51
"smugglers",1,20.4,34
"smuggling",4,42.01,58
"smurfette",1,71,14
"smurfs",3,94.87,16.67
"snail",1,83,67
"snake",1,0.2,80
"snakes",2,32.7,47
"snare",1,37,49
"sneak",2,123.65,64
"sneakers",1,51.4,57
"sneaks",1,6.3,76
"sniffing",1,32.5,23
"sniper",6,96.28,66.17
"snitch",2,61.9,46
"snoop",1,9.8,8
"snoops",1,20.4,21
"snow",4,69.63,58.25
"snowbell",1,64.7,81
"snowboard",1,13.9,8
"snowboarder",1,13.9,8
"snowboarders",1,0.7,52
"snowden",1,2.8,98
"snowed",1,16.6,31
"snowman",1,400.7,89
"snowpiercer",1,4.6,95
"snowstorm",1,0.02,34
"snowy",1,0,33
"snuff",1,19,56
"soaked",1,121.5,88
"soap",2,12.65,70.5
"sober",1,0.4,84
"sobero",1,0.08,0
"sobol",1,32.1,27
"soccer",9,22.13,42.89
"social",25,20.35,52.88
"socialite",4,64,46.75
"socially",5,37.42,38.6
"society",7,67.08,53.29
"sociopathic",2,3.41,77
"sod",1,0.06,46
"soderbergh",1,0.05,34
"sodom",1,43.3,15
"soft",2,5.5,57
"softball",2,15.35,29.5
"softens",1,11.2,84
"software",1,124.4,67
"sojourns",1,0.04,45
"solace",2,36.25,29.5
"solar",1,1.3,63
"sold",7,30.29,42.14
"soldier",22,65.57,57.86
"soldiers",15,38.62,57.73
"sole",3,88.2,48.67
"soleil",1,12.5,47
"solid",1,50.4,16
"solitano",1,132.1,92
"solitary",3,14.94,49.33
"solitude",1,1.7,39
"solo",2,21.1,83
"solomon",1,35.4,12
"solutions",4,8.5,52.75
"solve",9,65.4,50.22
"solving",2,27.45,22.5
"somali",1,107.1,93
"somalia",1,108.6,76
"somalis",1,108.6,76
"someday",1,19.4,31
"somehow",2,20.35,70
"someone",8,49.05,49.88
"something",23,45.49,49.26
"somethings",2,7.15,0.5
"sometimes",9,32.34,43.22
"somewhat",1,0.01,50
"somewhere",1,91,50
"somme",1,6.2,78
"son",112,36.23,47.43
"sonador",1,33,64
"sonagchi",1,3.4,96
"song",4,53.9,63.75
"songs",4,36.6,62
"songwriter",9,33.91,39.78
"songwriting",1,0.05,0
"sonny",2,30.95,61.5
"sons",6,10,35.67
"soon",53,32.08,40.42
"sophie",1,53,40
"sophomore",1,0.6,38
"soprano",1,51.2,32
"sorcerer",4,57.93,26
"sorceress",1,63.1,41
"sorna",1,180.1,50
